Player (Teams Played),Span,Matches,Innings,Not Out,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,0s,No. of 4s hit,No. of 6s hit
Babar Azam (PAK),2016-2024,123,116,15,4145,122,41.03,3211,129.08,3,36,6,440,72
V Kohli (IND),2010-2024,120,112,31,4042,122*,49.9,2931,137.9,1,37,6,362,117
RG Sharma (IND),2007-2024,154,146,19,4042,121*,31.82,2894,139.66,5,30,12,364,194
PR Stirling (IRE),2009-2024,145,144,11,3601,115*,27.07,2675,134.61,1,23,13,418,128
MJ Guptill (NZ),2009-2022,122,118,7,3531,105,31.81,2602,135.7,2,20,3,309,173
Mohammad Rizwan (PAK),2015-2024,102,89,21,3313,104*,48.72,2620,126.45,1,29,4,278,92
DA Warner (AUS),2009-2024,107,107,11,3215,100*,33.48,2251,142.82,1,27,6,331,119
AJ Finch (AUS),2011-2022,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125
JC Buttler (ENG),2011-2024,120,110,22,3116,101*,35.4,2136,145.88,1,23,7,287,130
KS Williamson (NZ),2011-2024,93,90,13,2575,95,33.44,2092,123.08,0,18,4,245,58
Shakib Al Hasan (BAN),2006-2024,126,124,17,2532,84,23.66,2087,121.32,0,13,8,257,52
Mohammad Hafeez (PAK),2006-2021,119,108,13,2514,99*,26.46,2060,122.03,0,14,7,251,76
GJ Maxwell (AUS),2012-2024,110,101,16,2507,145*,29.49,1621,154.65,5,10,4,208,129
EJG Morgan (ENG),2009-2022,115,107,21,2458,91,28.58,1805,136.17,0,14,3,186,120
Shoaib Malik (ICC/PAK),2006-2021,124,111,33,2435,75,31.21,1938,125.64,0,9,2,196,69
A Balbirnie (IRE),2015-2024,110,106,4,2392,83,23.45,1941,123.23,0,12,6,254,68
Q de Kock (SA),2012-2024,87,86,9,2389,100,31.02,1744,136.98,1,14,7,245,93
Mahmudullah (BAN),2007-2024,135,124,26,2373,64*,24.21,2005,118.35,0,8,5,181,74
DA Miller (SA/World),2010-2024,120,105,36,2369,106*,34.33,1674,141.51,2,7,1,155,114
Virandeep Singh (MAS),2019-2024,78,77,14,2320,116*,36.82,1842,125.95,1,16,5,197,101
KL Rahul (IND),2016-2022,72,68,8,2265,110*,37.75,1628,139.12,2,22,5,191,99
SA Yadav (IND),2021-2024,63,60,11,2200,117,44.89,1309,168.06,4,18,3,195,125
RD Berrington (SCOT),2008-2024,94,85,17,2194,100,32.26,1658,132.32,1,10,10,185,75
BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91
Mohammad Nabi (AFG),2010-2024,125,117,23,2140,89,22.76,1564,136.82,0,6,7,146,107
S Ssesazi (UGA),2021-2024,82,80,10,2081,100*,29.72,1689,123.2,1,16,8,225,67
AD Hales (ENG),2011-2022,75,75,8,2074,116*,30.95,1499,138.35,1,12,5,225,70
Mohammad Shahzad (AFG),2010-2023,73,73,3,2048,118*,29.25,1550,132.12,1,12,4,229,76
N Pooran (WI),2016-2024,92,84,8,2012,98,26.47,1481,135.85,0,12,2,137,128
HG Munsey (SCOT),2015-2024,71,69,5,2006,132,31.34,1399,143.38,2,11,5,229,86
Muhammad Waseem (UAE),2021-2024,53,53,3,1977,112,39.54,1278,154.69,3,14,4,160,123
KJ O'Brien (IRE),2008-2021,110,103,10,1973,124,21.21,1507,130.92,1,5,12,165,82
Syed Aziz (MAS),2019-2024,80,78,13,1962,126,30.18,1377,142.48,1,15,6,188,93
Sikandar Raza (ZIM),2013-2024,86,82,5,1947,87,25.28,1449,134.36,0,14,7,146,92
